"Encargad@","Número interno del taxón
NA,NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Polypodiaceae","Serpocaulon","lasiopus",NA,"Serpocaulon lasiopus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56700,48,8,10,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"La especie tiene registradas hasta el momento ocho subpoblaciones. No se conoce nada sobre la abundancia o tendencia poblacional de la especie.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YES","Cuenca Hidrografica del Rìo Carare-Minero; Río Nare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Polypodiaceae","Serpocaulon","latissimum",NA,"Serpocaulon latissimum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,520184,124,27,28,20.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"La especie tiene registradas hasta el momento 27 subpoblaciones. No se conoce nada sobre la abundancia o tendencia poblacional de la especie.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YES","Bajo Cauca Nechí; Cuenca Hidrográfica de Río Samaná Norte; Darién; Las Orquídeas; Serranía de los Churumbelos  - Auka Wasi; Utria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Polypodiaceae","Serpocaulon","levigatum",NA,"Serpocaulon levigatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,354288,568,89,115,45.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"La especie tiene registradas hasta el momento 89 subpoblaciones. No se conoce nada sobre la abundancia o tendencia poblacional de la especie.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YES","Alto de Ventanas; Barbas  Bremen; Barbas Bremen; Bosque Oriental de Bogotá; Campoalegre; Carauta; Cuchilla Jardin Tamesis; Cuenca Alta del Río Mocoa; Cuenca Hidrográfica del Río La Vieja con POMCA; Cuenca Hidrográfica del Río Negro con POMCA; Cuenca Hidrográfica del Río Pamplonita; Cuenca Hidrográfica del Río Recio y Río Venadillo con plan de ordenación y manejo; Cuenca Hidrográfica del Río San Jorge; Cuenca Hidrográfica Del Río San Juan; Cuenca hidrográfica del río Suaza con Plan de Ordenación y Manejo de la Cuenca Hidrográfica; Cuenca Hidrográfica Directos Río Cauca- Río Amagá- Quebrada Sinifaná- NSS; Cuenca Hidrográfica Rio Algodonal; Cuenca Hidrográfica Río Grande y Chico, con Plan de Ordenación y Manejo; Cuenca Hidrográfica Río Juanambú; Cuenca Hidrográfica Rio Totare; De la Cuenca Alta del Río  Quindío de Salento; De Urrao; Divisoria Valle de Aburra Rio Cauca; DRMI de los Páramos de Guantiva y La Rusia, Bosques de Roble y sus Zonas aledañas; Farallones de Cali; Isla de la Corota; Laguna La Cocha Cerro Patascoy; Otún Quimbaya; Páramo de Vida Maitamá - Sonsón; Páramo Grande; Rio  Amaime; Río Cali; Río Guadalajara; Río Nare; Sabinas; San Pedro Y El Recuerdo; Sector Salto del Tequendama y Cerro Manjuí; Serranía de Minas; Serranía de Peñas Blancas; Siberia Ceibas; Sierra de la Macarena; Sierra Nevada de Santa Marta; Sistema de Paramos y Bosques Altoandinos del Noroccidente Medio Antioqueño; Tatamá; Ucumarí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Polypodiaceae","Serpocaulon","loriceum",NA,"Serpocaulon loriceum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147427,28,7,7,66.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"La especie tiene registradas hasta el momento siete subpoblaciones. No se conoce nada sobre la abundancia o tendencia poblacional de la especie.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YES","Cuenca Hidrográfica del Río Pamplonita; Laguna del Cacique Guatavita y Cuchilla de Peña Blanca; Las Orquídeas; Serranía de Peñas Blancas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Polypodiaceae","Serpocaulon","maritimum",NA,"Serpocaulon maritimum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174510,52,12,12,41.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"La especie tiene registradas hasta el momento 12 subpoblaciones. No se conoce nada sobre la abundancia o tendencia poblacional de la especie.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YES","De Urrao; Farallones de Cali; Macuira; Río Anchicayá; Tayrona",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Polypodiaceae","Serpocaulon","nanegalense",NA,"Serpocaulon nanegalense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12305678,100,19,20,76.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"La especie tiene registradas hasta el momento 19 subpoblaciones. No se conoce nada sobre la abundancia o tendencia poblacional de la especie.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YES","Cuchilla Jardin Tamesis; Cuenca Hidrográfica del Río La Vieja con POMCA; Cuenca Hidrográfica del Río Pamplonita; Cuenca Hidrográfica Río Grande y Chico, con Plan de Ordenación y Manejo; Divisoria Valle de Aburra Rio Cauca; Farallones de Cali; Farallones del Citará; Iguaque; Laguna La Cocha Cerro Patascoy; Páramo de Vida Maitamá - Sonsón; Sistema de Paramos y Bosques Altoandinos del Noroccidente Medio Antioqueño; Tatamá; Unidad Biogeográfica de Siscuncí Oceta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Polypodiaceae","Serpocaulon","patentissimum",NA,"Serpocaulon patentissimum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29789.9,32,4,5,45.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"La especie tiene registradas hasta el momento cuatro subpoblaciones. No se conoce nada sobre la abundancia o tendencia poblacional de la especie.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YES","La Planada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Polypodiaceae","Serpocaulon","psychotrium",NA,"Serpocaulon psychotrium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,429306,80,17,17,36.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"La especie tiene registradas hasta el momento 17 subpoblaciones. No se conoce nada sobre la abundancia o tendencia poblacional de la especie.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YES","Bajo Cauca Nechí; Chiribiquete National Park – “The Maloca of the Jaguar”; Cuenca Hidrográfica de Río Samaná Norte; Cuenca Hidrografica del Rìo Carare-Minero; Cuenca Hidrográfica del Río Guarapas; Embalse el Peñol y Cuenca Alta del Río Guatapé; La Serranía de Chiribiquete; Serranía de Peñas Blancas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Polypodiaceae","Serpocaulon","ptilorhizon",NA,"Serpocaulon ptilorhizon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3075.6,28,5,7,64.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"La especie tiene registradas hasta el momento cinco subpoblaciones. No se conoce nada sobre la abundancia o tendencia poblacional de la especie.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YES","Cacica Noría; Embalse el Peñol y Cuenca Alta del Río Guatapé; La Selva; Páramo de Vida Maitamá - Sonsón; Río Nare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Polypodiaceae","Serpocaulon","richardii",NA,"Serpocaulon richardii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"La especie tiene registradas hasta el momento dos subpoblaciones. No se conoce nada sobre la abundancia o tendencia poblacional de la especie.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Polypodiaceae","Serpocaulon","sessilifolium",NA,"Serpocaulon sessilifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11826902,160,29,34,61.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"La especie tiene registradas hasta el momento 29 subpoblaciones. No se conoce nada sobre la abundancia o tendencia poblacional de la especie.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YES","Cuchillas Negra y Guanaque; Cuenca Hidrográfica del Río San Jorge; De la Cuenca Alta del Río  Quindío de Salento; Divisoria Valle de Aburra Rio Cauca; Farallones de Cali; Isla de la Corota; La Reserva; Laguna La Cocha Cerro Patascoy; Otún Quimbaya; Puracé; Ríos Blanco y Negro; Serranía de Minas; Serranía de Peñas Blancas; Sistema de Paramos y Bosques Altoandinos del Noroccidente Medio Antioqueño; Tatamá; Unidad Ambiental Costera Complejo Malaga  Buenaventura",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Polypodiaceae","Serpocaulon","subandinum",NA,"Serpocaulon subandinum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20887055,152,29,31,50.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"La especie tiene registradas hasta el momento 29 subpoblaciones. No se conoce nada sobre la abundancia o tendencia poblacional de la especie.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YES","Bosque Oriental de Bogotá; Cuenca Hidrográfica del Río Pamplonita; Cuenca Hidrográfica del Río San Jorge; Cuenca Hidrográfica Río Juanambú; De la Cuenca Alta del Río  Quindío de Salento; De Urrao; Laguna La Cocha Cerro Patascoy; Las Cuencas Hidrográficas del Río Blanco y Quebrada Olivares; Los Bosques de la Chec; Páramo de Rabanal; Puracé; Río Bobo y Buesaquillo; Sierra Nevada de Santa Marta; Sistema de Paramos y Bosques Altoandinos del Noroccidente Medio Antioqueño",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Polypodiaceae","Serpocaulon","triseriale",NA,"Serpocaulon triseriale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,992143,360,76,82,51.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"La especie tiene registradas hasta el momento 76 subpoblaciones. No se conoce nada sobre la abundancia o tendencia poblacional de la especie.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YES","Alto Calima; Amacayacu; Bajo Cauca Nechí; Barbas Bremen; Cañón de Río Grande; Chiribiquete National Park – “The Maloca of the Jaguar”; Cuenca Hidrográfica de Río Samaná Norte; Cuenca Hidrografica del Rìo Carare-Minero; Cuenca Hidrográfica del Río La Vieja con POMCA; Cuenca Hidrográfica del Río San Jorge; Cuenca Hidrográfica Del Río San Juan; Distrito de Conservación de Suelos y Aguas del Caquetá; Divisoria Valle de Aburra Rio Cauca; Encanto de los Manglares del Bajo Baudó; Iguaque; La Serranía de Chiribiquete; Otún Quimbaya; Río Anchicayá; Serranía de Peñas Blancas; Serranía La Lindosa - Angosturas II; Sierra de la Macarena; Unidad Ambiental Costera Complejo Malaga  Buenaventura; Utria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Polypodiaceae","Serpocaulon","wagneri",NA,"Serpocaulon wagneri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74092,20,4,4,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"La especie tiene registradas hasta el momento cuatro subpoblaciones. No se conoce nada sobre la abundancia o tendencia poblacional de la especie.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YES","Cuenca Hidrográfica Rio Algodonal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
